stage,category,tier,cost,use,name,url,status,notes
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Simple Icons,https://simpleicons.org,unverified,1307 Free SVG icons for popular brands |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Linear Icons,https://linearicons.com/free,unverified,1000+ Ultra crisp vector icons |
build,icons,more,freemium,"asset, check the set licence (often MIT or CC)",Icons8,https://icons8.com,unverified,"Free icons, photos, vectors and tools |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Flat Icon,https://www.flaticon.com,unverified,"The largest database of free icons in PNG, SVG, EPS, PSD and BASE 64 formats |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",The Noun Project,https://thenounproject.com,unverified,"Over 2 Million curated icons, created by a global community |"
build,icons,more,freemium,"asset, check the set licence (often MIT or CC)",Iconscout,https://iconscout.com,unverified,Free Download Icons illustrations stock photos at one place |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",IconSear.ch,https://iconsear.ch/search.html,unverified,"Search engine with over 50,000 SVG icons indexed |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Nucleo App,https://nucleoapp.com,unverified,"Nucleo is a beautiful library of 27500 icons, and a powerful application to collect, customize and export all your icons"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Icon-icons.com,https://icon-icons.com,unverified,"Free Icons PNG, ICO, ICNS and Vector file SVG |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Bootstrap Icons,https://icons.getbootstrap.com,unverified,Free Icons built for Bootstrap but they'll work in any project |
build,icons,top,free,"asset, check the set licence (often MIT or CC)",Remix Icon,https://remixicon.com,unverified,Simply Delightful Icon System |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Iconmonstr,https://iconmonstr.com,unverified,Discover 4496+ free icons in 313 collections |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Vivid.js,https://webkul.github.io/vivid,unverified,Ready to use Free and Open Source SVG Icons Pack JavaScript Library. |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Iconfinder,https://www.iconfinder.com,unverified,"Free and premium vector icons in SVG, PNG, CSH and AI format |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Lordicon,https://lordicon.com/icons#free,unverified,50 free animated interactive icons |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",UseAnimations,https://useanimations.com,unverified,Free Animated Icons in SVG and Json Format(for lottie) |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",css.gg,https://css.gg,unverified,"700+ Open-source CSS, SVG and Figma UI Icons Available in SVG Sprite, styled-components, NPM & API |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",IconBros,https://www.iconbros.com,unverified,7843+ free icons grouped in 182 collections |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Material Design Icons,https://materialdesignicons.com,unverified,"An icon collection allowing designers and developers targeting various platforms to download icons in the format, color "
build,icons,top,free,"asset, check the set licence (often MIT or CC)",Heroicons,https://heroicons.dev,unverified,"Free, open source icons from the creators of Tailwind CSS. |"
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Zondicons,https://www.zondicons.com/icons.html,unverified,A set of free premium SVG icons for you to use on your digital products. |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Endless Icons,http://endlessicons.com,unverified,A website offering a number of free icons. Icons are tagged and also compressed into kits. |
build,icons,more,free,"asset, check the set licence (often MIT or CC)",Icomoon,https://icomoon.io/app,unverified,Browse 5500+ Free Icons. Add any set you wish to easily browse and search its icons. |
